[E 250602 13:46:03 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '530965', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:04 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '517334', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:04 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '532827', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:04 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '543396', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '500302', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '532522', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '500331', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '532461', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '532955', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 250602 13:46:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e2:2a:a5:01:76:2c', 'Accept': 'application/json', 'X-PrivateKey': 'ezWgejKX', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '500387', 'interval': 'ONE_DAY'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
